              -2               2             100
             -15           -0.22             100
           -1.92        -14.7044         1.65149         2.19649
           -1.92        -14.5566         1.65149         2.19632
           -1.92        -14.4088         1.65149         2.19614
           -1.92         -14.261         1.65148         2.19596
           -1.92        -14.1132         1.65148         2.19578
           -1.92        -13.9654         1.65148         2.19559
           -1.92        -13.8176         1.65148          2.1954
           -1.92        -13.6698         1.65147          2.1952
           -1.92         -13.522         1.65147           2.195
           -1.92        -13.3742         1.65147          2.1948
           -1.92        -13.2264         1.65146         2.19459
           -1.92        -13.0786         1.65146         2.19438
           -1.92        -12.9308         1.65145         2.19416
           -1.92         -12.783         1.65145         2.19393
           -1.92        -12.6352         1.65144         2.19371
           -1.92        -12.4874         1.65144         2.19347
           -1.92        -12.3396         1.65143         2.19323
           -1.92        -12.1918         1.65142         2.19299
           -1.92         -12.044         1.65141         2.19273
           -1.92        -11.8962         1.65141         2.19248
           -1.92        -11.7484          1.6514         2.19221
           -1.92        -11.6006         1.65138         2.19194
           -1.92        -11.4528         1.65137         2.19166
           -1.92         -11.305         1.65136         2.19138
           -1.92        -11.1572         1.65134         2.19108
           -1.92        -11.0094         1.65133         2.19078
           -1.92        -10.8616         1.65131         2.19047
           -1.92        -10.7138         1.65129         2.19016
           -1.92         -10.566         1.65127         2.18983
           -1.92        -10.4182         1.65125          2.1895
           -1.92        -10.2704         1.65122         2.18915
           -1.92        -10.1226         1.65119         2.18879
           -1.92         -9.9748         1.65116         2.18843
           -1.92          -9.827         1.65113         2.18805
           -1.92         -9.6792         1.65109         2.18766
           -1.92         -9.5314         1.65105         2.18726
           -1.92         -9.3836           1.651         2.18685
           -1.92         -9.2358         1.65095         2.18642
           -1.92          -9.088          1.6509         2.18598
           -1.92         -8.9402         1.65084         2.18553
           -1.92         -8.7924         1.65078         2.18506
           -1.92         -8.6446          1.6507         2.18457
           -1.92         -8.4968         1.65063         2.18407
           -1.92          -8.349         1.65054         2.18355
           -1.92         -8.2012         1.65045         2.18301
           -1.92         -8.0534         1.65035         2.18245
           -1.92         -7.9056         1.65023         2.18187
           -1.92         -7.7578         1.65011         2.18127
           -1.92           -7.61         1.64998         2.18064
           -1.92         -7.4622         1.64983         2.17999
           -1.92         -7.3144         1.64968         2.17932
           -1.92         -7.1666          1.6495         2.17861
           -1.92         -7.0188         1.64931         2.17788
           -1.92          -6.871         1.64911         2.17711
           -1.92         -6.7232         1.64889         2.17631
           -1.92         -6.5754         1.64865         2.17548
           -1.92         -6.4276         1.64839          2.1746
           -1.92         -6.2798         1.64811         2.17369
           -1.92          -6.132          1.6478         2.17273
           -1.92         -5.9842         1.64748         2.17173
           -1.92         -5.8364         1.64713         2.17067
           -1.92         -5.6886         1.64675         2.16956
           -1.92         -5.5408         1.64636         2.16839
           -1.92          -5.393         1.64593         2.16715
           -1.92         -5.2452         1.64549         2.16585
           -1.92         -5.0974         1.64502         2.16447
           -1.92         -4.9496         1.64453         2.16301
           -1.92         -4.8018         1.64402         2.16146
           -1.92          -4.654         1.64351         2.15982
           -1.92         -4.5062         1.64299         2.15806
           -1.92         -4.3584         1.64247         2.15619
           -1.92         -4.2106         1.64198         2.15419
           -1.92         -4.0628         1.64151         2.15205
           -1.92          -3.915         1.64111         2.14974
           -1.92         -3.7672         1.64078         2.14726
           -1.92         -3.6194         1.64057         2.14458
           -1.92         -3.4716         1.64051         2.14168
           -1.92         -3.3238         1.64066         2.13852
           -1.92          -3.176         1.64109         2.13508
           -1.92         -3.0282         1.64187         2.13132
           -1.92         -2.8804         1.64311          2.1272
           -1.92         -2.7326         1.64493         2.12265
           -1.92         -2.5848         1.64748         2.11761
           -1.92          -2.437         1.65095         2.11202
           -1.92         -2.2892         1.65558         2.10577
           -1.92         -2.1414         1.66163         2.09877
           -1.92         -1.9936         1.66946         2.09089
           -1.92         -1.8458         1.67949         2.08199
           -1.92          -1.698         1.69224         2.07193
           -1.92         -1.5502         1.70832         2.06057
           -1.92         -1.4024         1.72851         2.04785
           -1.92         -1.2546         1.75373          2.0339
           -1.92         -1.1068         1.78512          2.0194
           -1.92          -0.959         1.82404         2.00632
           -1.92         -0.8112         1.87217               2
           -1.92         -0.6634         1.93154         2.01457
           -1.92         -0.5156          2.0046         2.08868
           -1.92         -0.3678         2.09434         2.33419
           -1.88             -15          1.5834         2.12156
           -1.88        -14.8522          1.5834         2.12139
           -1.88        -14.7044         1.58339         2.12123
           -1.88        -14.5566         1.58339         2.12105
           -1.88        -14.4088         1.58339         2.12088
           -1.88         -14.261         1.58339          2.1207
           -1.88        -14.1132         1.58339         2.12051
           -1.88        -13.9654         1.58338         2.12033
           -1.88        -13.8176         1.58338         2.12013
           -1.88        -13.6698         1.58338         2.11994
           -1.88         -13.522         1.58338         2.11974
           -1.88        -13.3742         1.58337         2.11953
           -1.88        -13.2264         1.58337         2.11933
           -1.88        -13.0786         1.58336         2.11911
           -1.88        -12.9308         1.58336         2.11889
           -1.88         -12.783         1.58335         2.11867
           -1.88        -12.6352         1.58335         2.11844
           -1.88        -12.4874         1.58334         2.11821
           -1.88        -12.3396         1.58333         2.11797
           -1.88        -12.1918         1.58333         2.11772
           -1.88         -12.044         1.58332         2.11747
           -1.88        -11.8962         1.58331         2.11721
           -1.88        -11.7484          1.5833         2.11695
           -1.88        -11.6006         1.58329         2.11668
           -1.88        -11.4528         1.58328          2.1164
           -1.88         -11.305         1.58326         2.11611
           -1.88        -11.1572         1.58325         2.11582
           -1.88        -11.0094         1.58323         2.11552
           -1.88        -10.8616         1.58321         2.11521
           -1.88        -10.7138         1.58319         2.11489
           -1.88         -10.566         1.58317         2.11457
           -1.88        -10.4182         1.58315         2.11423
           -1.88        -10.2704         1.58312         2.11389
           -1.88        -10.1226          1.5831         2.11353
           -1.88         -9.9748         1.58307         2.11316
           -1.88          -9.827         1.58303         2.11279
           -1.88         -9.6792         1.58299          2.1124
           -1.88         -9.5314         1.58295           2.112
           -1.88         -9.3836         1.58291         2.11159
           -1.88         -9.2358         1.58286         2.11116
           -1.88          -9.088          1.5828         2.11072
           -1.88         -8.9402         1.58275         2.11026
           -1.88         -8.7924         1.58268         2.10979
           -1.88         -8.6446         1.58261         2.10931
           -1.88         -8.4968         1.58253         2.10881
           -1.88          -8.349         1.58245         2.10829
           -1.88         -8.2012         1.58235         2.10775
           -1.88         -8.0534         1.58225         2.10719
           -1.88         -7.9056         1.58214         2.10661
           -1.88         -7.7578         1.58202           2.106
           -1.88           -7.61         1.58188         2.10538
           -1.88         -7.4622         1.58174         2.10473
           -1.88         -7.3144         1.58158         2.10405
           -1.88         -7.1666         1.58141         2.10335
           -1.88         -7.0188         1.58122         2.10261
           -1.88          -6.871         1.58101         2.10185
           -1.88         -6.7232         1.58079         2.10105
           -1.88         -6.5754         1.58055         2.10021
           -1.88         -6.4276         1.58029         2.09934
           -1.88         -6.2798         1.58001         2.09843
           -1.88          -6.132         1.57971         2.09747
           -1.88         -5.9842         1.57938         2.09646
           -1.88         -5.8364         1.57903         2.09541
           -1.88         -5.6886         1.57866         2.09429
           -1.88         -5.5408         1.57826         2.09312
           -1.88          -5.393         1.57784         2.09189
           -1.88         -5.2452         1.57739         2.09059
           -1.88         -5.0974         1.57692         2.08921
           -1.88         -4.9496         1.57643         2.08775
           -1.88         -4.8018         1.57593          2.0862
           -1.88          -4.654         1.57541         2.08455
           -1.88         -4.5062         1.57489          2.0828
           -1.88         -4.3584         1.57438         2.08093
           -1.88         -4.2106         1.57388         2.07893
           -1.88         -4.0628         1.57342         2.07678
           -1.88          -3.915         1.57301         2.07448
           -1.88         -3.7672         1.57268           2.072
           -1.88         -3.6194         1.57247         2.06932
           -1.88         -3.4716         1.57241         2.06641
           -1.88         -3.3238         1.57257         2.06326
           -1.88          -3.176           1.573         2.05982
           -1.88         -3.0282         1.57378         2.05606
           -1.88         -2.8804         1.57502         2.05193
           -1.88         -2.7326         1.57684         2.04738
           -1.88         -2.5848         1.57939         2.04235
           -1.88          -2.437         1.58286         2.03675
           -1.88         -2.2892         1.58748         2.03051
           -1.88         -2.1414         1.59353         2.02351
           -1.88         -1.9936         1.60137         2.01563
           -1.88         -1.8458          1.6114         2.00673
           -1.88          -1.698         1.62414         1.99667
           -1.88         -1.5502         1.64023         1.98531
           -1.88         -1.4024         1.66041         1.97258
